subject_id,session_id,time_sec,base_fs_hz,acc_fs_hz,bvp_fs_hz,eda_fs_hz,temp_fs_hz,hr_fs_hz,ibi_is_event_based,acc_sample,bvp_sample,eda_sample,temp_sample,hr_sample,ibi_event,acc_x,acc_y,acc_z,bvp,eda,temp,hr,ibi,pred_label,confidence
demo_subject_001,demo_session_001,0.0,64,32,64,4,4,1,1,1,1,1,1,1,1,-27.0,6.0,58.0,0.163283,0.425201,32.33802,75.859391,0.790759,,
demo_subject_001,demo_session_001,0.015625,64,32,64,4,4,1,1,0,1,0,0,0,0,-31.0,5.0,56.0,0.202015,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.03125,64,32,64,4,4,1,1,1,1,0,0,0,0,-32.0,2.0,54.0,0.405222,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.046875,64,32,64,4,4,1,1,0,1,0,0,0,0,-29.0,4.0,61.0,0.506855,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.0625,64,32,64,4,4,1,1,1,1,0,0,0,0,-31.0,5.0,59.0,0.508893,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.078125,64,32,64,4,4,1,1,0,1,0,0,0,0,-29.0,1.0,59.0,0.59399,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.09375,64,32,64,4,4,1,1,1,1,0,0,0,0,-30.0,3.0,59.0,0.608603,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.109375,64,32,64,4,4,1,1,0,1,0,0,0,0,-28.0,2.0,57.0,0.695501,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.125,64,32,64,4,4,1,1,1,1,0,0,0,0,-30.0,4.0,59.0,0.826692,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.140625,64,32,64,4,4,1,1,0,1,0,0,0,0,-28.0,0.0,58.0,0.6703,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.15625,64,32,64,4,4,1,1,1,1,0,0,0,0,-29.0,0.0,62.0,0.679612,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.171875,64,32,64,4,4,1,1,0,1,0,0,0,0,-29.0,2.0,59.0,0.658478,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.1875,64,32,64,4,4,1,1,1,1,0,0,0,0,-27.0,4.0,56.0,0.637527,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.203125,64,32,64,4,4,1,1,0,1,0,0,0,0,-27.0,3.0,59.0,0.462698,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.21875,64,32,64,4,4,1,1,1,1,0,0,0,0,-29.0,2.0,59.0,0.530672,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.234375,64,32,64,4,4,1,1,0,1,0,0,0,0,-27.0,5.0,58.0,0.446389,0.425201,32.33802,75.859391,,,
demo_subject_001,demo_session_001,0.25,64,32,64,4,4,1,1,1,1,1,1,0,0,-30.0,6.0,58.0,0.201959,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.265625,64,32,64,4,4,1,1,0,1,0,0,0,0,-28.0,4.0,57.0,0.285611,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.28125,64,32,64,4,4,1,1,1,1,0,0,0,0,-31.0,6.0,55.0,0.240878,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.296875,64,32,64,4,4,1,1,0,1,0,0,0,0,-28.0,4.0,56.0,0.329191,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.3125,64,32,64,4,4,1,1,1,1,0,0,0,0,-32.0,5.0,55.0,0.116816,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.328125,64,32,64,4,4,1,1,0,1,0,0,0,0,-31.0,6.0,58.0,-0.000424,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.34375,64,32,64,4,4,1,1,1,1,0,0,0,0,-28.0,3.0,58.0,0.111956,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.359375,64,32,64,4,4,1,1,0,1,0,0,0,0,-29.0,4.0,59.0,0.085711,0.415487,32.362526,75.859391,,,
demo_subject_001,demo_session_001,0.375,64,32,64,4,4,1,1,1,1,0,0,0,0,-27.0,1.0,58.0,0.128582,0.415487,32.362526,75.859391,,,
